day	time	event	optional	audience	body	location	parking
Wednesday, February 9	11:00 AM – 3:00 PM	Beach Day	Yes	Beach Day	We’ll have tents up at Makapu’u Beach Park. Bring sunscreen, sun protection, beach towels, and anything else you might need to have fun. Rain permitting. Food is not easily accessed so we recommend bringing snacks and eating before. There is also amazing poke 10 min west in Hawaii Kai at HanaPa’a Market.	Makapu’u Beach Park, O’ahu	Parking should be easy on the weekday in the parking lot, otherwise people park along the road.
Wednesday, February 9	5:00 PM – 7:00 PM	Sunset Surf	Yes		Depending on conditions, we’ll do a chill sunset surf in Waikiki. Still happening if drizzling. Beginner friendly and very unserious! Text Lucas if you have questions or need help (e.g., we’ll help people get surfboards). If you don’t want to surf, you can come and hang on the beach!		
Thursday, February 10	5:00 PM – 9:00 PM	Welcome BBQ		Welcome BBQ	We invite you to a welcome BBQ for family and close friends.	Kauhale Beach Cove, 45-180 Mahalani Place, Kane’ohe, O’ahu	There are guest parking spots as well as street parking outside the gate.
Saturday, February 12	11:00 AM – 11:30 AM	Welcome Cocktail			Arrive in this time window.		
Saturday, February 12	11:30 AM – 2:30 PM	Reception Lunch			We’re all going to paddle out to rockpiles surf break, where we met. Just kidding — the reception is a lunch with mimosas and will take place overlooking Haiku Gardens and Ko’olau mountains in Kane’ohe. *not to be confused with the Haleiwa, North Shore location	Hale’iwa Joe’s Haiku Gardens*, Kane’ohe, O’ahu	There is plenty of designated parking on-site.
Saturday, February 12	2:30 – 3:00 PM	Shuttle Transport			Shuttle buses will take us from reception to Kauhale Beach Cove (still in Kane’ohe) for the day party. The ride is only 5 minutes. If you are not attending the party, there will be other buses returning people to Honolulu.		
Saturday, February 12	3:00 PM – late	Party	Yes		We’ll have bartenders and hangout. Feel free to bring a swimsuit for the pool or hot tub. There is also a clubhouse if you don’t want to be outside.		
Saturday, February 12	8:00 – 9:00 PM	Shuttle Transport			Shuttle buses will take guests back to Honolulu. You can also order an Uber or Lyft if you don’t prefer the shuttle.		
Sunday, February 13	5:00 PM – 9:00 PM	Sunset Cruise	Yes		Purchase tickets to the Kuhio Sunset Cruise here. Totally optional. Takes off from Honolulu.		
